,type,title,listed_in,score
654,movie,cars toon: unidentified flying mater,"animation, comedy, family",3.5
655,movie,cars toons: bugged,"animation, family",3.5
656,movie,cool runnings,"biographical, comedy, family",3.5
657,movie,drain alcatraz,documentary,3.5
658,movie,drain the bermuda triangle,documentary,3.6
659,movie,drain the great lakes,documentary,3.6
660,movie,drain the ocean: wwii,"documentary, historical",3.6
661,movie,drain the sunken pirate city,"documentary, historical",3.6
662,movie,drain the titanic,"documentary, historical",3.6
664,movie,hacksaw,"animals & nature, family, sports",3.5
665,movie,holes,"coming of age, drama, family",3.4
666,movie,marvel 75 years: from pulp to pop!,"documentary, family",3.5
667,movie,marvel rising: battle of the bands,"action-adventure, animation, superhero",3.5
670,movie,super rhino,"action-adventure, animation, comedy",3.6
674,movie,forky asks a question: what is a pet?,"animation, comedy, family",3.6
675,movie,star wars: the last jedi (episode viii),"action-adventure, science fiction",3.4
676,movie,forky asks a question: what is a leader?,"animation, comedy, family",3.5
677,movie,george of the jungle 2,"action-adventure, comedy, family",3.5
678,movie,high school musical: the musical: the series: the special,"coming of age, documentary, drama",3.6
680,movie,togo,"action-adventure, animals & nature, family",3.5
681,movie,forky asks a question: what is a computer?,"animation, comedy, family",3.5
682,movie,wind,"animation, family, fantasy",3.5
683,movie,forky asks a question: what is love?,"animation, comedy, family",3.5
685,movie,marvel studios' thor: ragnarok,"action-adventure, comedy, fantasy",3.5
687,movie,one day at disney,"documentary, family",3.5
689,movie,expedition amelia,"action-adventure, documentary, historical",3.6
690,movie,glory road,"biographical, drama, sports",3.6
692,movie,incredible! the story of dr. pol,"animals & nature, biographical, documentary",3.6
693,movie,marvel rising: chasing ghosts,"action-adventure, animation, superhero",3.6
694,movie,marvel rising: heart of iron,"action-adventure, animation, coming of age",3.5
698,movie,the incredible dr. pol: blue ribbon kids,"animals & nature, documentary, family",3.6
699,movie,coco,"animation, family, fantasy",3.6
700,movie,coco (in spanish),"animation, family, fantasy",3.6
701,movie,forky asks a question: what is time?,"animation, comedy, family",3.5
702,movie,the wonderful world of disney presents the little mermaid live!,"concert film, family, fantasy",3.6
703,movie,forky asks a question: what is art?,"animation, comedy, family",3.5
705,movie,"happy birthday, mickey!","animation, comedy, dance",3.6
706,movie,forky asks a question: what is a friend?,"animation, comedy, family",3.5
707,movie,10 things i hate about you,"comedy, coming of age, romance",3.5
708,movie,101 dalmatians,"action-adventure, animation, family",3.5
709,movie,101 dalmatians ii: patch's london adventure,"action-adventure, animation",3.5
710,movie,102 dalmatians,"action-adventure, animals & nature, family",3.6
711,movie,12 dates of christmas,"comedy, family, fantasy",3.5
712,movie,"20,000 leagues under the sea","action-adventure, family, science fiction",3.5
713,movie,a bug's life,"animation, comedy, family",3.6
714,movie,a goofy movie,"action-adventure, animation, comedy",3.5
715,movie,a kid in king arthur's court,"action-adventure, comedy, coming of age",3.6
716,movie,a knight for a day,"animation, comedy, family",3.5
717,movie,a ring of endless light,"coming of age, drama, romance",3.5
718,movie,aladdin (1992),"action-adventure, animation, family",3.5
719,movie,aladdin and the king of thieves,"action-adventure, animation, family",3.6
720,movie,aladdin: the return of jafar,"action-adventure, animation, family",3.4
721,movie,alice in wonderland,"action-adventure, animation, family",3.6
722,movie,aliens of the deep,"action-adventure, animals & nature, documentary",3.5
723,movie,alley cats strike!,"coming of age, drama, sports",3.5
724,movie,almost angels,"coming of age, drama, family",3.6
725,movie,america's heart & soul,"documentary, family",3.5
726,movie,amy,"drama, family",3.4
727,movie,an extremely goofy movie,"animation, comedy, family",3.5
729,movie,annie,"drama, family, musical",3.5
730,movie,apollo: missions to the moon,"documentary, family, historical",3.5
731,movie,atlantis rising,"documentary, historical",3.6
732,movie,atlantis: milo's return,"action-adventure, animation, family",3.6
733,movie,atlantis: the lost empire,"action-adventure, animation, family",3.5
734,movie,auntie edna,"animation, comedy, family",3.6
735,movie,avatar,"action-adventure, science fiction",3.5
736,movie,babes in the woods,"animation, family, fantasy",3.5
737,movie,babes in toyland,"family, fantasy, musical",3.5
738,movie,bambi,"animation, drama, family",3.6
739,movie,bambi ii,"animation, drama, kids",3.6
740,movie,bao,"animation, family, fantasy",3.5
741,movie,beach picnic,"animation, comedy, family",3.5
742,movie,bearly asleep,"animation, comedy, family",3.5
743,movie,beauty and the beast: belle's magical world,"animation, anthology, fantasy",3.6
744,movie,beauty and the beast: the enchanted christmas,"animation, family, fantasy",3.5
745,movie,beezy bear,"animation, comedy, family",3.5
746,movie,before the flood,documentary,3.6
747,movie,benji the hunted,"action-adventure, animals & nature, family",3.6
750,movie,big hero 6,"action-adventure, animation, family",3.5
752,movie,bizarre dinosaurs,"animals & nature, documentary, family",3.6
753,movie,blank check,"comedy, family",3.5
754,movie,boat builders,"animation, comedy, family",3.5
755,movie,bolt,"action-adventure, animation, comedy",3.6
756,movie,bone bandit,"animation, comedy, family",3.4
758,movie,boundin',"animation, family, kids",3.5
760,movie,brave,"animation, coming of age, family",3.5
761,movie,brave little toaster to the rescue,"action-adventure, animation",3.5
762,movie,breaking2,"documentary, sports",3.6
